Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100
336,2023-12-12,CUST336,Female,52,Beauty,3,50,150
348,2023-12-03,CUST348,Female,35,Electronics,2,300,600
355,2023-12-09,CUST355,Female,55,Electronics,1,500,500
361,2023-12-10,CUST361,Female,34,Electronics,4,300,1200
386,2023-12-27,CUST386,Female,54,Electronics,2,300,600
389,2023-12-01,CUST389,Male,21,Clothing,2,25,50
392,2023-12-08,CUST392,Male,27,Clothing,2,300,600
395,2023-12-06,CUST395,Male,50,Electronics,2,500,1000
409,2023-12-18,CUST409,Female,21,Electronics,3,300,900
429,2023-12-28,CUST429,Male,64,Electronics,2,25,50
435,2023-12-20,CUST435,Female,30,Beauty,3,300,900
451,2023-12-16,CUST451,Female,45,Electronics,1,30,30
453,2023-12-08,CUST453,Female,26,Clothing,2,500,1000
468,2023-12-09,CUST468,Male,40,Electronics,1,25,25
472,2023-12-26,CUST472,Female,38,Beauty,3,300,900
485,2023-12-04,CUST485,Male,24,Electronics,1,30,30
496,2023-12-14,CUST496,Male,23,Clothing,2,300,600
520,2023-12-29,CUST520,Female,49,Electronics,4,25,100
525,2023-12-18,CUST525,Female,47,Beauty,2,25,50
526,2023-12-10,CUST526,Male,33,Clothing,2,50,100
531,2023-12-07,CUST531,Male,31,Electronics,1,500,500
535,2023-12-06,CUST535,Male,47,Beauty,3,30,90
540,2023-12-08,CUST540,Female,46,Electronics,3,300,900
544,2023-12-23,CUST544,Female,27,Electronics,1,25,25
550,2023-12-07,CUST550,Male,40,Clothing,3,300,900
552,2023-12-13,CUST552,Female,49,Electronics,3,25,75
566,2023-12-02,CUST566,Female,64,Clothing,1,30,30
571,2023-12-12,CUST571,Female,41,Electronics,1,50,50
576,2023-12-04,CUST576,Female,33,Beauty,3,50,150
580,2023-12-06,CUST580,Female,31,Clothing,3,500,1500
586,2023-12-11,CUST586,Male,50,Electronics,1,50,50
602,2023-12-23,CUST602,Female,20,Electronics,1,300,300
608,2023-12-02,CUST608,Female,55,Electronics,3,500,1500
609,2023-12-19,CUST609,Female,47,Clothing,2,50,100
615,2023-12-23,CUST615,Female,61,Clothing,4,25,100
625,2023-12-08,CUST625,Male,31,Clothing,1,300,300
662,2023-12-22,CUST662,Male,48,Beauty,2,500,1000
664,2023-12-28,CUST664,Female,44,Clothing,4,500,2000
678,2023-12-23,CUST678,Female,60,Electronics,3,300,900
700,2023-12-09,CUST700,Male,36,Electronics,4,500,2000
701,2023-12-14,CUST701,Female,52,Beauty,2,30,60
712,2023-12-06,CUST712,Female,57,Beauty,2,25,50
752,2023-12-09,CUST752,Male,29,Clothing,2,50,100
757,2023-12-25,CUST757,Female,43,Electronics,4,300,1200
771,2023-12-13,CUST771,Male,24,Electronics,2,25,50
777,2023-12-20,CUST777,Male,48,Electronics,3,50,150
781,2023-12-23,CUST781,Male,35,Beauty,1,500,500
783,2023-12-17,CUST783,Female,56,Clothing,1,300,300
791,2023-12-05,CUST791,Female,51,Beauty,1,25,25
805,2023-12-29,CUST805,Female,30,Beauty,3,500,1500
828,2023-12-09,CUST828,Female,33,Electronics,4,300,1200
842,2023-12-26,CUST842,Female,47,Clothing,2,300,600
854,2023-12-20,CUST854,Male,29,Clothing,1,50,50
857,2023-12-31,CUST857,Male,60,Electronics,2,25,50
865,2023-12-21,CUST865,Female,42,Clothing,1,300,300
868,2023-12-06,CUST868,Female,25,Electronics,1,300,300
879,2023-12-26,CUST879,Male,23,Clothing,1,30,30
890,2023-12-20,CUST890,Male,34,Electronics,2,25,50
908,2023-12-29,CUST908,Male,46,Beauty,4,300,1200
916,2023-12-24,CUST916,Female,32,Electronics,1,50,50
939,2023-12-18,CUST939,Female,46,Electronics,1,300,300
971,2023-12-05,CUST971,Female,27,Electronics,4,50,200
982,2023-12-19,CUST982,Female,46,Beauty,3,30,90
989,2023-12-28,CUST989,Female,44,Electronics,1,25,25
991,2023-12-26,CUST991,Female,34,Clothing,2,50,100
994,2023-12-18,CUST994,Female,51,Beauty,2,500,1000
999,2023-12-05,CUST999,Female,36,Electronics,3,50,150
